study_accession	sample_accession	experiment_accession	run_accession	experiment_title	fastq_ftp	submitted_ftp
PRJEB34392	SAMEA5952669	ERX3537206	ERR3517533	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517533/HC0547_S14_L003.bam
PRJEB34392	SAMEA5952669	ERX3537206	ERR3517534	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517534/HC0547_S30_L007.bam
PRJEB34392	SAMEA5952669	ERX3537206	ERR3517535	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517535/HC0547_S40_L001.bam
PRJEB34392	SAMEA5952670	ERX3537207	ERR3517536	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517536/HC0572_S19_L007.bam
PRJEB34392	SAMEA5952670	ERX3537207	ERR3517537	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517537/HC0572_S29_L001.bam
PRJEB34392	SAMEA5952670	ERX3537207	ERR3517538	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517538/HC0572_S3_L003.bam
PRJEB34392	SAMEA5952671	ERX3537208	ERR3517539	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517539/HC0701_S23_L007.bam
PRJEB34392	SAMEA5952671	ERX3537208	ERR3517540	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517540/HC0701_S33_L001.bam
PRJEB34392	SAMEA5952671	ERX3537208	ERR3517541	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517541/HC0701_S7_L003.bam
PRJEB34392	SAMEA5952672	ERX3537209	ERR3517542	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517542/HC0732_S13_L003.bam
